id,display_order,name,name_kana,name_en,system_type,system_type_en,is_reincarnated,reincarnation_parent_id,source_url,image_path,trivia_1,trivia_2,created_at,updated_at
1,1,スライム,スライム,Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00151.html,/storage/images/monsters/1.webp,プルプルとした水色の身体とまんまるのひとみがかわいらしいモンスター。皆さんおなじみのアイツ。,ひんやりプルプルの身体は暑くなるとしんどいようだ。真夏にはスライムたちが岩陰で寝ていたりする。,2026-03-12 13:29:31,2026-07-27 12:50:16
2,2,スライムベス,スライムベス,She-Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00155.html,/storage/images/monsters/2.webp,あざやかな身体が自慢の色違いのスライム。スライムより ちょっぴり強くさわると 少しあたたかい。,じつは スライムのメスというウワサもあるようだが学会のえらい人でも真相は わからないらしい。,2026-03-12 13:29:34,2026-07-27 13:42:05
3,3,いたずらもぐら,イタズラモグラ,Mischievous Mole,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00021.html,/storage/images/monsters/3.webp,スコップを持ったいたずら好きのモンスター。チカラをためてきたら気をつけよう！,かつては落とし穴を掘って旅人をはめようとしていたが仲間同士で穴に落ちまくりそれ以来自重している。,2026-03-12 13:29:37,2026-07-27 13:42:08
4,4,ビッグハット,ビッグハット,Sham Hatwitch,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00237.html,/storage/images/monsters/4.webp,大きな帽子を深くかぶったイノシシ魔物のルーキー。戦いになるとおびえてしまい帽子にくるまって身を守る。,魔物たちについ最近までペットとして飼われていたが戦力になると見込まれ魔物の一員として戦っている。,2026-03-12 13:29:43,2026-07-27 13:42:11
5,5,ナスビナーラ,ナスビナーラ,Woebergine,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00213.html,/storage/images/monsters/5.webp,旅人に自慢の踊りを見せるために現れるナスの形のモンスター。愛らしい動きに注目。,特徴的な踊りの動きは誰にも知られずがんばって身につけた努力のたまもの。目指すはナスビ界のプリマ！,2026-03-12 13:29:46,2026-07-27 12:50:16
6,6,おむつっこり,オムツッコリ,Bushy Baby,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00047.html,/storage/images/monsters/6.webp,春芽吹いたばかりの樹木から生まれた精霊。かわいらしい姿で現れて旅人たちを和ませる。,おむつ卒業の時期が来ても大人になんかなりたくない！と言っておむつを脱がないじんめんじゅの赤ちゃん。,2026-03-12 13:29:49,2026-07-27 13:42:15
7,7,モーモン,モーモン,Teeny Sanguini,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00336.html,/storage/images/monsters/7.webp,人間を見ると 遊んでほしくてフワフワとついてくる,かわいらしいモンスター。牛のような模様が 特徴。,2026-03-12 13:29:53,2026-07-27 13:42:20
8,8,いっかくウサギ,イッカクウサギ,Bunicorn,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00022.html,/storage/images/monsters/8.webp,悪の心と鋭いツノを持ったウサギのモンスター。チカラをためその額のツノで攻撃してくる。,アグレッシブな性格だがさみしい夜は仲間同士身を寄せ合って寝ている意外とかわいらしい一面も。,2026-03-12 13:29:58,2026-07-27 13:42:26
9,9,ファーラット,ファーラット,Feralball,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00247.html,/storage/images/monsters/9.webp,全身緑色の毛が生えた小型のモンスター。丸い身体を回転させながら攻撃をしかけてくる。,おくびょうな性格の持ち主でいつも草木にまぎれている。道行く旅人に気づかれずうっかり踏まれることも。,2026-03-12 13:30:01,2026-07-27 13:42:29
10,10,さそりばち,サソリバチ,Waspion,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00112.html,/storage/images/monsters/10.webp,獲物を求めて飛びまわる巨大なハチのモンスター。さそりを思わせるしっぽの針で襲いかかる。,さそりと名前に入っているが別に毒は持っていない。さそりばち本人はそれがコンプレックスのようだ。,2026-03-12 13:30:04,2026-07-27 13:42:33
11,11,ドラキー,ドラキー,Dracky,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00200.html,/storage/images/monsters/11.webp,コウモリによく似ている空飛ぶモンスター。攻撃するとひらひらと身をかわされることも。,キャラのかぶっているライバルモーモンの登場で守り続けたナンバー２の座が危ぶまれ気が気でない。,2026-03-12 13:30:07,2026-07-27 13:42:36
12,12,メラゴースト,メラゴースト,Firespirit,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00333.html,/storage/images/monsters/12.webp,炎の呪文メラから生まれたたよりない下級霊。ゆらりゆらりとゆらめいて攻撃をかわしてくる。,半人前の魔法使いが唱えた失敗作のメラが燃えつきる時あまりのむなしさに魔物となってしまった……。,2026-03-12 13:30:10,2026-07-27 13:42:40
