id,monster_id,drop_target_type,drop_target_id,drop_type,sort_order,created_at,updated_at
3,964,orb,26,orb,1,"2026-03-12 11:58:11","2026-03-12 11:58:11"
4,964,orb,143,orb,2,"2026-03-12 11:58:11","2026-03-12 11:58:11"
5,964,orb,151,orb,3,"2026-03-12 11:58:11","2026-03-12 11:58:11"
6,964,equipment,132,equipment,1,"2026-03-12 11:58:11","2026-03-12 11:58:11"
7,964,equipment,131,equipment,2,"2026-03-12 11:58:11","2026-03-12 11:58:11"
8,964,equipment,130,equipment,3,"2026-03-12 11:58:11","2026-03-12 11:58:11"
9,269,item,698,normal,1,"2026-03-12 11:58:13","2026-03-12 11:58:13"
10,269,item,703,rare,2,"2026-03-12 11:58:13","2026-03-12 11:58:13"
11,269,orb,8,orb,1,"2026-03-12 11:58:13","2026-03-12 11:58:13"
12,269,orb,176,orb,2,"2026-03-12 11:58:13","2026-03-12 11:58:13"
13,269,orb,422,orb,3,"2026-03-12 11:58:13","2026-03-12 11:58:13"
14,269,equipment,1142,equipment,1,"2026-03-12 11:58:13","2026-03-12 11:58:13"
15,269,equipment,1109,equipment,2,"2026-03-12 11:58:13","2026-03-12 11:58:13"
16,269,equipment,1167,equipment,3,"2026-03-12 11:58:13","2026-03-12 11:58:13"
17,656,item,679,normal,1,"2026-03-12 11:58:15","2026-03-12 11:58:15"
18,656,item,677,rare,2,"2026-03-12 11:58:15","2026-03-12 11:58:15"
19,656,orb,70,orb,1,"2026-03-12 11:58:15","2026-03-12 11:58:15"
20,656,orb,179,orb,2,"2026-03-12 11:58:15","2026-03-12 11:58:15"
21,656,orb,440,orb,3,"2026-03-12 11:58:15","2026-03-12 11:58:15"
22,656,equipment,1142,equipment,1,"2026-03-12 11:58:15","2026-03-12 11:58:15"
23,656,equipment,1109,equipment,2,"2026-03-12 11:58:15","2026-03-12 11:58:15"
24,656,equipment,904,equipment,3,"2026-03-12 11:58:15","2026-03-12 11:58:15"
25,87,item,732,normal,1,"2026-03-12 11:58:19","2026-03-12 11:58:19"
26,87,item,1048,rare,2,"2026-03-12 11:58:19","2026-03-12 11:58:19"
27,87,orb,9,orb,1,"2026-03-12 11:58:19","2026-03-12 11:58:19"
28,87,equipment,360,equipment,1,"2026-03-12 11:58:19","2026-03-12 11:58:19"
29,277,item,652,normal,1,"2026-03-12 11:58:22","2026-03-12 11:58:22"
30,277,item,810,rare,2,"2026-03-12 11:58:22","2026-03-12 11:58:22"
31,277,orb,68,orb,1,"2026-03-12 11:58:22","2026-03-12 11:58:22"
32,277,orb,38,orb,2,"2026-03-12 11:58:22","2026-03-12 11:58:22"
33,277,orb,223,orb,3,"2026-03-12 11:58:22","2026-03-12 11:58:22"
34,277,equipment,347,equipment,1,"2026-03-12 11:58:22","2026-03-12 11:58:22"
35,270,item,653,normal,1,"2026-03-12 11:58:24","2026-03-12 11:58:24"
36,270,item,1431,rare,2,"2026-03-12 11:58:24","2026-03-12 11:58:24"
37,270,orb,182,orb,1,"2026-03-12 11:58:24","2026-03-12 11:58:24"
38,270,orb,223,orb,2,"2026-03-12 11:58:24","2026-03-12 11:58:24"
39,270,orb,377,orb,3,"2026-03-12 11:58:24","2026-03-12 11:58:24"
40,270,equipment,1313,equipment,1,"2026-03-12 11:58:24","2026-03-12 11:58:24"
41,270,equipment,1314,equipment,2,"2026-03-12 11:58:24","2026-03-12 11:58:24"
42,91,item,666,normal,1,"2026-03-12 11:58:26","2026-03-12 11:58:26"
43,91,item,1050,rare,2,"2026-03-12 11:58:26","2026-03-12 11:58:26"
44,91,orb,9,orb,1,"2026-03-12 11:58:26","2026-03-12 11:58:26"
45,91,equipment,478,equipment,1,"2026-03-12 11:58:26","2026-03-12 11:58:26"
46,220,item,535,normal,1,"2026-03-12 12:27:29","2026-03-12 12:27:29"
47,220,item,879,rare,2,"2026-03-12 12:27:29","2026-03-12 12:27:29"
48,220,orb,9,orb,1,"2026-03-12 12:27:29","2026-03-12 12:27:29"
49,220,equipment,1073,equipment,1,"2026-03-12 12:27:29","2026-03-12 12:27:29"
50,220,equipment,1074,equipment,2,"2026-03-12 12:27:29","2026-03-12 12:27:29"
51,220,equipment,1075,equipment,3,"2026-03-12 12:27:29","2026-03-12 12:27:29"
52,768,item,46,normal,1,"2026-03-12 12:27:31","2026-03-12 12:27:31"
53,768,accessory,28,rare,2,"2026-03-12 12:27:31","2026-03-12 12:27:31"
54,768,orb,160,orb,1,"2026-03-12 12:27:31","2026-03-12 12:27:31"
55,768,equipment,640,equipment,1,"2026-03-12 12:27:31","2026-03-12 12:27:31"
56,655,item,673,normal,1,"2026-03-12 12:27:34","2026-03-12 12:27:34"
57,655,item,603,rare,2,"2026-03-12 12:27:34","2026-03-12 12:27:34"
58,655,orb,324,orb,1,"2026-03-12 12:27:34","2026-03-12 12:27:34"
59,655,orb,334,orb,2,"2026-03-12 12:27:34","2026-03-12 12:27:34"
60,655,orb,364,orb,3,"2026-03-12 12:27:34","2026-03-12 12:27:34"
61,655,equipment,1077,equipment,1,"2026-03-12 12:27:34","2026-03-12 12:27:34"
62,655,equipment,1078,equipment,2,"2026-03-12 12:27:34","2026-03-12 12:27:34"
63,655,equipment,1079,equipment,3,"2026-03-12 12:27:34","2026-03-12 12:27:34"
64,245,item,881,normal,1,"2026-03-12 12:27:36","2026-03-12 12:27:36"
65,245,item,861,rare,2,"2026-03-12 12:27:36","2026-03-12 12:27:36"
66,245,orb,9,orb,1,"2026-03-12 12:27:36","2026-03-12 12:27:36"
67,245,equipment,1134,equipment,1,"2026-03-12 12:27:36","2026-03-12 12:27:36"
68,245,equipment,1135,equipment,2,"2026-03-12 12:27:36","2026-03-12 12:27:36"
69,112,item,392,normal,1,"2026-03-12 12:27:38","2026-03-12 12:27:38"
70,112,item,1377,rare,2,"2026-03-12 12:27:38","2026-03-12 12:27:38"
71,112,orb,9,orb,1,"2026-03-12 12:27:38","2026-03-12 12:27:38"
72,112,equipment,1325,equipment,1,"2026-03-12 12:27:38","2026-03-12 12:27:38"
73,112,equipment,1326,equipment,2,"2026-03-12 12:27:38","2026-03-12 12:27:38"
74,581,item,762,normal,1,"2026-03-12 12:27:40","2026-03-12 12:27:40"
75,581,item,702,rare,2,"2026-03-12 12:27:40","2026-03-12 12:27:40"
76,581,orb,168,orb,1,"2026-03-12 12:27:40","2026-03-12 12:27:40"
77,581,orb,238,orb,2,"2026-03-12 12:27:40","2026-03-12 12:27:40"
78,581,orb,172,orb,3,"2026-03-12 12:27:40","2026-03-12 12:27:40"
79,581,equipment,816,equipment,1,"2026-03-12 12:27:40","2026-03-12 12:27:40"
80,581,equipment,817,equipment,2,"2026-03-12 12:27:40","2026-03-12 12:27:40"
81,581,equipment,819,equipment,3,"2026-03-12 12:27:40","2026-03-12 12:27:40"
82,287,item,732,normal,1,"2026-03-12 12:27:42","2026-03-12 12:27:42"
83,287,item,816,rare,2,"2026-03-12 12:27:42","2026-03-12 12:27:42"
84,287,orb,128,orb,1,"2026-03-12 12:27:42","2026-03-12 12:27:42"
85,287,orb,417,orb,2,"2026-03-12 12:27:42","2026-03-12 12:27:42"
86,287,orb,419,orb,3,"2026-03-12 12:27:42","2026-03-12 12:27:42"
87,287,equipment,1256,equipment,1,"2026-03-12 12:27:42","2026-03-12 12:27:42"
88,287,equipment,1255,equipment,2,"2026-03-12 12:27:42","2026-03-12 12:27:42"
89,287,equipment,1257,equipment,3,"2026-03-12 12:27:42","2026-03-12 12:27:42"
90,795,item,728,normal,1,"2026-03-12 12:27:44","2026-03-12 12:27:44"
