id,continent_id,name,name_kana,name_en,map_type,source_url,created_at,updated_at
1,3,コルット地方,コルットちほう,"Colt Region",field,https://dq10.i-k-e.net/map/コルット地方,"2026-03-12 21:04:14","2026-08-04 13:25:23"
2,3,レーナム緑野,レーナムりょくや,"Lenam Fields",field,https://dq10.i-k-e.net/map/レーナム緑野,"2026-03-12 21:04:16","2026-08-04 13:25:23"
3,3,シエラ巡礼地,シエラじゅんれいち,"Sierra Shrinelands",field,https://dq10.i-k-e.net/map/シエラ巡礼地,"2026-03-12 21:04:18","2026-08-04 13:25:23"
4,3,地底湖の洞くつ,ちていこのどうくつ,"Underground Lake Cave",dungeon,https://dq10.i-k-e.net/map/地底湖の洞くつ,"2026-03-12 21:04:20","2026-08-04 13:25:23"
5,3,浜辺の洞くつ,はまべのどうくつ,"Beach Cave",dungeon,https://dq10.i-k-e.net/map/浜辺の洞くつ,"2026-03-12 21:04:24","2026-08-04 13:25:23"
6,3,ジュレー島下層,ジュレーとうかそう,"Lower Jule Island",field,,"2026-03-12 21:04:26","2026-08-04 13:25:23"
7,3,ジュレー島上層,ジュレーとうじょうそう,"Upper Jule Island",field,https://dq10.i-k-e.net/map/ジュレー島上層,"2026-03-12 21:04:29","2026-08-04 13:25:23"
8,3,ミューズ海岸,ミューズかいがん,"Muse Coast",field,https://dq10.i-k-e.net/map/ミューズ海岸,"2026-03-12 21:04:31","2026-08-04 13:25:23"
9,3,ラーディス王島,ラーディスおうとう,"Ladis Island",field,https://dq10.i-k-e.net/map/ラーディス王島,"2026-03-12 21:04:33","2026-08-04 13:25:23"
10,3,ジュレリア地下廃坑,ジュレリアちかはいこう,"Juleria Underground Mine",dungeon,https://dq10.i-k-e.net/map/ジュレリア地下廃坑,"2026-03-12 21:04:35","2026-08-04 13:25:23"
11,3,キュララナ海岸,キュララナかいがん,"Kyurarana Coast",field,https://dq10.i-k-e.net/map/キュララナ海岸,"2026-03-12 21:04:37","2026-08-04 13:25:23"
12,3,猫島,ねこじま,"Cat Island",field,https://dq10.i-k-e.net/map/猫島,"2026-03-12 21:04:39","2026-08-04 13:25:23"
13,3,知恵の眠る遺跡,ちえのねむるいせき,"Sleeping Wisdom Ruins",dungeon,https://dq10.i-k-e.net/map/知恵の眠る遺跡,"2026-03-12 21:04:41","2026-08-04 13:25:23"
14,3,海のとける洞くつ,うみのとけるどうくつ,"Sea Melting Cave",dungeon,https://dq10.i-k-e.net/map/海のとける洞くつ,"2026-03-12 21:04:43","2026-08-04 13:25:23"
15,3,ジュレイダ連塔遺跡,ジュレイダれんとういせき,"Juleida Tower Remains",dungeon,https://dq10.i-k-e.net/map/ジュレイダ連塔遺跡,"2026-03-12 21:04:45","2026-08-04 13:25:23"
16,3,ヴェリナード領南,ヴェリナードりょうみなみ,"Verinard South",field,https://dq10.i-k-e.net/map/ヴェリナード領南,"2026-03-12 21:04:48","2026-08-04 13:25:23"
17,3,ヴェリナード領北,ヴェリナードりょうきた,"Verinard North",field,https://dq10.i-k-e.net/map/ヴェリナード領北,"2026-03-12 21:04:50","2026-08-04 13:25:23"
18,3,ヴァース大山林,ヴァースだいさんりん,"Verse Mountain Forest",field,https://dq10.i-k-e.net/map/ヴァース大山林,"2026-03-12 21:04:52","2026-08-04 13:25:23"
19,3,ブーナー熱帯雨林,ブーナーねったいうりん,"Booner Rainforest",field,https://dq10.i-k-e.net/map/ブーナー熱帯雨林,"2026-03-12 21:04:54","2026-08-04 13:25:23"
20,3,ケラコーナ原生林,ケラコーナげんせいりん,"Keracona Primeval",field,https://dq10.i-k-e.net/map/ケラコーナ原生林,"2026-03-12 21:04:56","2026-08-04 13:25:23"
21,3,ヴェリナード領西,ヴェリナードりょうにし,"Verinard West",field,https://dq10.i-k-e.net/map/ヴェリナード領西,"2026-03-12 21:04:58","2026-08-04 13:25:23"
22,3,クエド丘陵,クエドきゅうりょう,"Kuedo Hill",field,https://dq10.i-k-e.net/map/クエド丘陵,"2026-03-12 21:05:00","2026-08-04 13:25:23"
23,3,永遠の地下迷宮,えいえんのちかめいきゅう,"Labyrinth of Eternity",dungeon,https://dq10.i-k-e.net/map/永遠の地下迷宮,"2026-03-12 21:05:02","2026-08-04 13:25:23"
24,3,詩歌の遺跡,しいかのいせき,"Poetry Ruins",dungeon,https://dq10.i-k-e.net/map/詩歌の遺跡,"2026-03-12 21:05:04","2026-08-04 13:25:23"
25,6,ランガーオ山地,ランガーオさんち,"Langao Mountains",field,https://dq10.i-k-e.net/map/ランガーオ山地,"2026-03-12 21:05:06","2026-08-04 13:25:23"
26,6,ラギ雪原,ラギせつげん,"Ragi Snowfield",field,https://dq10.i-k-e.net/map/ラギ雪原,"2026-03-12 21:05:09","2026-08-04 13:25:23"
27,6,ロンダの氷穴,ロンダのひょうけつ,"Rhonda Ice Cave",dungeon,https://dq10.i-k-e.net/map/ロンダの氷穴,"2026-03-12 21:05:11","2026-08-04 13:25:23"
28,6,ナグアの洞くつ,ナグアのどうくつ,"Nagua Caves",dungeon,https://dq10.i-k-e.net/map/ナグアの洞くつ,"2026-03-12 21:05:13","2026-08-04 13:25:23"
29,6,ダズの岩穴,ダズのいわあな,"Daz Grotto",dungeon,https://dq10.i-k-e.net/map/ダズの岩穴,"2026-03-12 21:05:15","2026-08-04 13:25:23"
30,6,グレン領東,グレンりょうひがし,"Glen East",dungeon,https://dq10.i-k-e.net/map/グレン領東,"2026-03-12 21:05:17","2026-08-04 13:25:23"
31,6,グレン領西,グレンりょうにし,"Glen West",field,https://dq10.i-k-e.net/map/グレン領西,"2026-03-12 21:05:19","2026-08-04 13:25:23"
32,6,ゲルト海峡,ゲルトかいきょう,"Gert Strait",field,https://dq10.i-k-e.net/map/ゲルト海峡,"2026-03-12 21:05:21","2026-08-04 13:25:23"
33,6,ランドンフット,ランドンフット,Landonfoot,field,https://dq10.i-k-e.net/map/ランドンフット,"2026-03-12 21:05:26","2026-08-04 13:25:23"
34,6,ゴズ渓谷,ゴズけいこく,"Goz Valley",field,https://dq10.i-k-e.net/map/ゴズ渓谷,"2026-03-12 21:05:28","2026-08-04 13:25:23"
35,6,ランドン山脈,ランドンさんみゃく,"Landon Mountains",field,https://dq10.i-k-e.net/map/ランドン山脈,"2026-03-12 21:05:30","2026-08-04 13:25:23"
36,6,ランドン山脈山頂付近,ランドンさんみゃくさんちょうふきん,"Landon Summit Area",field,https://dq10.i-k-e.net/map/ランドン山脈山頂付近,"2026-03-12 21:05:32","2026-08-04 13:25:23"
37,6,ベコン渓谷,ベコンけいこく,"Becon Valley",field,https://dq10.i-k-e.net/map/ベコン渓谷,"2026-03-12 21:05:34","2026-08-04 13:25:23"
38,6,ザマ峠,ザマとうげ,"Zama Pass",field,https://dq10.i-k-e.net/map/ザマ峠,"2026-03-12 21:05:36","2026-08-04 13:25:23"
39,6,バカン山道,バカンさんどう,"Bakan Mountain Pass",field,https://dq10.i-k-e.net/map/バカン山道,"2026-03-12 21:05:39","2026-08-04 13:25:23"
40,6,ガートラント領,ガートラントりょう,"Gartlant Territory",field,https://dq10.i-k-e.net/map/ガートラント領,"2026-03-12 21:05:42","2026-08-04 13:25:23"
41,6,バドリー岩石地帯,バドリーがんせきちたい,"Budley Rock Zone",field,https://dq10.i-k-e.net/map/バドリー岩石地帯,"2026-03-12 21:05:44","2026-08-04 13:25:23"
42,6,ガズバランの封洞,ガズバランのふうどう,"Gazbalan Sealed Cave",dungeon,,"2026-03-12 21:05:45","2026-08-04 13:25:23"
43,6,ギルザッド地方,ギルザッドちほう,"Gilzad Region",field,https://dq10.i-k-e.net/map/ギルザッド地方,"2026-03-12 21:05:47","2026-08-04 13:25:23"
44,6,海賊のアジト跡・地下,かいぞくのアジトあと・ちか,"Pirate's Hideout Underground",dungeon,https://dq10.i-k-e.net/map/海賊のアジト跡・地下,"2026-03-12 21:05:49","2026-08-04 13:25:23"
45,6,オルセコ高地,オルセコこうち,"Orseco Highlands",dungeon,https://dq10.i-k-e.net/map/オルセコ高地,"2026-03-12 21:05:51","2026-08-04 13:25:23"
47,6,トガス岩道,トガスいわみち,"Togas Trail",field,https://dq10.i-k-e.net/map/トガス岩道,"2026-03-12 21:05:55","2026-08-04 13:25:23"
48,6,狩人のほら穴,かりうどのほらあな,"Hunter's Den",dungeon,https://dq10.i-k-e.net/map/狩人のほら穴,"2026-03-12 21:05:58","2026-08-04 13:25:23"
50,6,ルクスガルン大空洞,ルクスガルンだいくうどう,"Luxgarn Caverns",field,,"2026-03-12 21:06:02","2026-08-04 13:25:23"
51,11,プクレット地方,プクレットちほう,"Pukulet Region",field,https://dq10.i-k-e.net/map/プクレット地方,"2026-03-12 21:06:04","2026-08-04 13:25:23"
52,11,ポーポラ地方,ポーポラちほう,"Popola Region",field,https://dq10.i-k-e.net/map/ポーポラ地方,"2026-03-12 21:06:06","2026-08-04 13:25:23"
53,11,けがれの谷,けがれのたに,"Defiled Valley",field,https://dq10.i-k-e.net/map/けがれの谷,"2026-03-12 21:06:08","2026-08-04 13:25:23"
54,11,賢者の隠れ家,けんじゃのかくれが,"Sage's Lair",field,https://dq10.i-k-e.net/map/賢者の隠れ家,"2026-03-12 21:06:10","2026-08-04 13:25:23"
55,11,ポポラパの洞くつ,ポポラパのどうくつ,"Popolapa Cave",dungeon,https://dq10.i-k-e.net/map/ポポラパの洞くつ,"2026-03-12 21:06:12","2026-08-04 13:25:23"
56,11,ペシュヤ地下空洞,ペシュヤちかくうどう,"Peshuya Underground Cave",dungeon,https://dq10.i-k-e.net/map/ペシュヤ地下空洞,"2026-03-12 21:06:14","2026-08-04 13:25:23"
